OriginalLink,Output,Comments
https://blog.talosintelligence.com/malicious_qr_codes,https://microsoftapc-my.sharepoint.com/personal/xuafeng_microsoft_com/Documents/Documents/AutomatedThreatResearch/241121_newAgentGenReport/malicious_qr_codes.md,
https://news.sophos.com/en-us/2024/11/20/sophos-mdr-blocks-and-tracks-activity-from-probable-iranian-state-actor-muddywater,https://microsoftapc-my.sharepoint.com/personal/xuafeng_microsoft_com/Documents/Documents/AutomatedThreatResearch/241121_newAgentGenReport/sophos-mdr-blocks-and-tracks-activity-from-probable-iranian-state-actor-muddywater.md,
https://www.malwarebytes.com/blog/news/2024/11/sad-announcement-email-leads-to-tech-support-scam,https://microsoftapc-my.sharepoint.com/personal/xuafeng_microsoft_com/Documents/Documents/AutomatedThreatResearch/241121_newAgentGenReport/sad-announcement-email-leads-to-tech-support-scam.md,
