ID,Work Item Type,State,Title,Feed Url
"17846943","Intelligence Feed","Requested","Positive Technologies","https://www.ptsecurity.com/ww-en/rss/analytics/"
"17846944","Intelligence Feed","Requested","Recorded Future","https://www.recordedfuture.com/feed/"
"17846923","Intelligence Feed","Requested","Automation - Microsoft Dynamics 365 Blog","https://cloudblogs.microsoft.com/dynamics365/bdm/topic/automation/feed/"
"17846924","Intelligence Feed","Requested","Cado Security | Cloud Forensics & Incident Response","https://feeds.feedburner.com/CadoSecurity?format=xml"
"17846925","Intelligence Feed","Requested","Epic Turla - The Lost Reports","https://feeds.feedburner.com/EpicTurla-TheLostReports?format=xml"
"15674323","Intelligence Feed","Requested","IBM X-Force Threat Research","https://securityintelligence.com/category/x-force/feed/"
"15703720","Intelligence Feed","Requested","CERT-UA","https://cert.gov.ua/api/articles/rss"
"11462363","Intelligence Feed","Requested","F5 Labs Threats","https://www.f5.com/labs/rss-feeds/threats.xml"
"11771623","Intelligence Feed","Requested","SentinelLabs","https://labs.sentinelone.com/feed/"
"11873768","Intelligence Feed","Requested","Morphisec","https://blog.morphisec.com/rss.xml"
"11918584","Intelligence Feed","Requested","NCSC UK - Weekly Threat Report","https://www.ncsc.gov.uk/api/1/services/v1/report-rss-feed.xml"
"391542","Intelligence Feed","Requested","Specter Ops","https://posts.specterops.io/feed"
"115630","Intelligence Feed","Requested","Palo Alto Networks","http://feeds.feedburner.com/PaloAltoNetworks?format=xml"
"115631","Intelligence Feed","Requested","Mcafee Securing Tomorrow","https://www.mcafee.com/blogs/feed"
"115632","Intelligence Feed","Requested","Sophos (Security Operations)","https://news.sophos.com/en-us/category/security-operations/feed/"
"115636","Intelligence Feed","Requested","Kaspersky Blog","https://usa.kaspersky.com/blog/feed/"
"115638","Intelligence Feed","Requested","Malware Traffic Analysis","https://www.malware-traffic-analysis.net/blog-entries.rss"
"115639","Intelligence Feed","Requested","Trend Micro","http://feeds.trendmicro.com/TrendMicroResearch"
"115640","Intelligence Feed","Requested","Cisco Talos Threat Research","http://feeds.feedburner.com/feedburner/Talos?format=xml"
"115641","Intelligence Feed","Requested","JPCERT/CC Blog","https://blogs.jpcert.or.jp/en/atom.xml"
"115642","Intelligence Feed","Requested","US-CERT Alerts","https://www.us-cert.gov/ncas/alerts.xml"
"115646","Intelligence Feed","Requested","ClearSky CyberSecurity","http://feeds.feedburner.com/ClearskyCybersecurity"
"115647","Intelligence Feed","Requested","Netscout Asert","https://www.netscout.com/rss.xml"
"115648","Intelligence Feed","Requested","Nettitude Labs","http://feeds.feedburner.com/NettitudeLabs"
"115650","Intelligence Feed","Requested","Forcepoint","http://feeds.feedburner.com/forcepoint/YTuM"
"115651","Intelligence Feed","Requested","SentinelOne","http://feeds.feedburner.com/sentinelone/NsCe"
"115652","Intelligence Feed","Requested","Malwarebytes Blog","https://blog.malwarebytes.com/feed/"
"115653","Intelligence Feed","Requested","TrendMicro Security News","http://feeds.feedburner.com/TrendmicroSecurityNews"
"115654","Intelligence Feed","Requested","Bleeping Computer","https://www.bleepingcomputer.com/feed/"
"115657","Intelligence Feed","Requested","Crowd Strike","https://www.crowdstrike.com/blog/feed"
"115660","Intelligence Feed","Requested","Volexity","https://www.volexity.com/blog/feed/"
"115661","Intelligence Feed","Requested","BAE SYSTEMS THREAT RESEARCH","http://baesystemsai.blogspot.com/feeds/posts/default?alt=rss"
"159160","Intelligence Feed","Requested","Kaspersky SecureList","https://securelist.com/feed/"
"159253","Intelligence Feed","Requested","Dragos Inc","https://dragos.com/feed"
"170191","Intelligence Feed","Requested","VirusBulletin","https://www.virusbulletin.com/rss"
"180468","Intelligence Feed","Requested","Intezer","https://www.intezer.com/feed/"
"181394","Intelligence Feed","Requested","US-CERT Malware Analysis","https://www.us-cert.gov/ncas/analysis-reports.xml"
"308549","Intelligence Feed","Requested","CERT Poland","https://www.cert.pl/en/feed/"
"369127","Intelligence Feed","Requested","Check Point Research","https://research.checkpoint.com/feed/"
"385976","Intelligence Feed","Requested","SANS Handler Diaries","https://isc.sans.edu/rssfeed.xml"
"386585","Intelligence Feed","Requested","Cyren","https://www.cyren.com/feed"
"748665","Intelligence Feed","Requested","Objective-see","https://objective-see.com/rss.xml"
"2756265","Intelligence Feed","Requested","Avira Research Articles","https://www.avira.com/en/blog/technology-insights/security-research/feed"
"3369139","Intelligence Feed","Requested","Proofpoint Threat Insight","https://www.proofpoint.com/us/threat-insight-blog.xml"
"5363414","Intelligence Feed","Requested","Check Point Blog","https://blog.checkpoint.com/feed/"
"5574168","Intelligence Feed","Requested","Cofense Blog","https://cofense.com/feed/"
"6565733","Intelligence Feed","Requested","CISA Advisories","https://us-cert.cisa.gov/ics/advisories/advisories.xml"
"6565788","Intelligence Feed","Requested","CISA Analysis Reports","https://us-cert.cisa.gov/ncas/analysis-reports.xml"
"6859186","Intelligence Feed","Requested","Google Threat Analysis Group (TAG)","https://blog.google/threat-analysis-group/rss/"
"8919214","Intelligence Feed","Requested","Cybereason Blog","https://www.cybereason.com/blog/rss.xml"
"638611","Intelligence Feed","Closed","ZScaler","https://www.zscaler.com/blogs/feeds"
"115655","Intelligence Feed","Closed","Threatpost","https://threatpost.com/feed/"
"13187979","Intelligence Feed","Closed","The Hacker News","https://feeds.feedburner.com/TheHackersNews?format=xml"
"11918587","Intelligence Feed","Closed","Canadian Centre for Cyber Security","https://www.cyber.gc.ca/webservice/en/rss/alerts"
